LocationID,Ptrip_count,Ppassenger_count,Pfare_amount,Ptip_amount,Ptotal_amount
64,339,84,10356.419999999996,117.96000000000001,11478.139999999996
41,70414,82576,696603.4199999984,60998.98999999991,878548.7399999548
154,48,15,1502.8899999999999,19.009999999999998,1628.72
43,13966,18468,151948.97000000003,24812.620000000123,221849.4000000028
15,506,91,14248.309999999994,117.5,16124.17
262,159,80,4028.5800000000004,168.81,4819.53
112,3795,4395,54637.090000000004,6321.649999999998,68900.44999999952
165,2420,564,56864.4799999999,722.6899999999999,62906.26000000008
189,2540,1959,41122.57999999996,3143.709999999999,49126.0200000001
179,6711,7881,89535.82000000007,6633.08,107958.29999999888
207,257,291,3911.47,197.78,4714.550000000006
37,4068,1417,90801.96000000006,1966.52,101909.33999999998
61,13386,6440,250019.08999999994,7328.880000000003,283173.97999999847
127,3690,3253,68704.82000000002,3608.9500000000007,79570.82999999975
197,4697,2615,161550.93000000017,4232.63,182232.0099999998
88,246,10,9652.220000000001,24.75,10836.580000000005
263,1137,801,21218.969999999994,1218.2300000000002,25740.65999999999
107,339,10,10068.479999999998,137.25,11508.439999999999
202,212,61,4940.649999999999,90.93,5690.109999999999
17,7916,4989,135971.12000000026,4443.59,154817.44999999888
9,1033,137,24703.600000000013,506.71999999999997,27854.849999999995
231,595,13,22411.670000000002,90.75,24513.36999999998
72,4109,838,98014.25000000029,1495.76,108915.70999999961
175,356,51,10275.48999999999,76.25,11416.949999999999
35,5615,1362,138448.66000000018,2110.2200000000003,153652.2699999995
196,8853,9654,136882.9000000002,5429.489999999999,156266.4699999982
217,818,486,17206.44,401.99,19338.279999999988
229,160,9,4853.979999999999,33.0,5508.379999999999
173,2822,2903,42067.16999999999,1076.8999999999999,47949.770000000135
220,2408,976,55765.01000000001,1838.44,63574.37999999999
114,35,2,886.45,8.25,1010.6700000000001
59,100,42,2543.44,30.56,2860.59
55,5522,3298,180666.1600000001,2535.5299999999997,196844.45999999964
4,249,16,6785.9,74.25,7650.209999999999
241,2095,834,54194.14999999999,982.0699999999999,60879.97
8,7,10,150.5,9.219999999999999,164.97
100,125,"",4218.900000000001,33.0,4807.23
161,174,9,5629.73,60.5,6361.540000000001
39,5881,1107,165284.07000000053,1928.2700000000002,181727.8100000003
23,160,60,10420.169999999998,56.2,12300.690000000002
49,8981,6939,142984.3500000001,7598.599999999998,167152.31999999823
176,2,2,102.00999999999999,0.0,117.6
7,39200,53493,413970.8300000001,33129.05999999995,508009.7800000414
162,162,5,5315.8499999999985,66.52,6049.279999999999
244,34164,40365,566013.8699999986,62436.609999999935,708328.7700000186
130,21681,20911,338613.5899999997,27534.609999999957,398640.5000000108
238,473,48,11923.52,125.94999999999999,13373.740000000003
136,3059,1063,80325.13999999997,1510.3599999999997,89840.14999999979
84,3,2,103.18,0.0,135.68
247,5287,4128,84565.57999999999,2565.04,96862.0199999996
87,398,13,15429.669999999993,38.5,17223.39
171,1196,376,33949.00000000002,269.15999999999997,37981.979999999996
51,4833,588,131120.4199999998,1646.21,149472.28999999963
194,119,51,3178.05,76.38,4081.83
129,24578,33669,304543.0499999994,12576.090000000007,354522.37000002014
166,43856,51458,489904.27999999997,67030.8599999998,653151.1600000017
69,5926,3581,116435.20999999993,2040.6200000000001,131048.79999999925
97,35417,36955,459262.91999999987,48677.419999999904,561145.7800000261
264,1516,1705,18381.91,1631.8,21052.00000000006
239,144,5,4349.25,44.0,4872.85
234,135,1,4011.04,60.5,4589.0199999999995
63,1389,317,40109.54999999999,565.97,44663.919999999984
77,2238,573,64758.90000000005,822.16,72315.27999999997
10,2121,478,55762.490000000005,1237.5600000000002,62485.639999999985
102,965,215,21899.299999999985,374.82,24756.25
50,163,10,5078.550000000001,66.0,5628.83
45,450,22,16170.789999999995,57.75,17632.920000000002
216,2366,919,65835.96000000011,737.7900000000001,72192.27000000005
38,1107,286,37558.52999999999,531.18,41500.89
261,125,3,4745.37,27.5,5309.160000000001
181,18052,19511,257516.47000000012,22574.59999999997,311066.9900000059
82,45061,58316,536092.8399999981,31649.009999999937,631910.7200000141
249,53,1,1516.0,11.0,1734.3899999999996
167,2839,1444,56810.770000000004,965.96,64262.37
80,5124,6298,102838.75,11613.510000000006,125244.81999999958
240,307,119,9075.450000000003,74.33,10148.82
25,21456,21715,306035.56999999995,26554.83,368127.93000000826
73,387,144,9653.130000000001,122.82,10716.119999999995
245,22,8,1291.4999999999998,16.5,1571.11
113,89,10,2606.46,33.0,2937.9399999999996
237,247,9,8505.03,87.85,9551.22
24,4184,4895,46504.98000000001,5760.689999999999,61164.37999999982
160,744,300,17055.67,247.73,19254.249999999996
70,1417,1022,26348.55999999999,646.32,29838.29
62,3281,978,66836.79999999994,1354.27,74906.61999999982
121,2392,922,53505.90000000001,1160.27,59433.540000000045
125,51,3,1578.1,5.5,1780.19
156,280,254,17963.71,250.25,21192.430000000004
219,880,225,29330.07999999999,358.59000000000003,32443.189999999995
143,154,7,4541.430000000001,35.75,5074.419999999998
95,34568,42163,424630.7799999987,35929.479999999974,513470.02000002866
226,7626,7078,140247.90000000017,5939.169999999999,162892.0899999985
29,2673,937,83626.49,1152.1400000000003,91594.54999999983
21,1630,529,47112.21000000001,619.65,51580.51000000003
214,7,3,241.8,0.0,293.74
256,3820,4395,58938.220000000016,6730.859999999995,74017.85999999956
195,1240,847,26947.139999999985,2113.3300000000004,31882.110000000015
98,539,135,15433.449999999997,175.33,17194.68
32,1722,450,41485.41999999998,795.47,47570.48000000002
60,1533,677,30923.260000000002,491.53000000000003,34949.100000000006
90,185,15,5999.319999999999,85.25,6760.029999999999
75,84619,107096,951505.7300000014,103197.26999999912,1262389.0699998424
203,1065,270,36951.89999999998,294.12,40146.53999999998
265,1457,1202,54641.60999999999,2035.2799999999997,61160.57000000002
221,31,20,1756.71,11.7,2159.2999999999997
151,497,55,12397.970000000003,176.0,14104.33
141,319,5,9447.18,119.19,10657.890000000003
145,7410,9169,101533.76000000002,10877.650000000009,129212.34999999881
200,1269,250,36993.64000000003,467.4599999999999,42080.40999999999
254,3750,841,105962.11000000013,1562.0199999999998,119609.96999999974
56,3074,1811,59371.05000000006,1027.71,67266.65000000004
109,2,1,45.36,0.0,58.699999999999996
228,2290,1007,59260.54000000005,2285.36,66732.37
213,5424,1866,135167.3500000003,2518.1000000000004,154903.98000000016
170,473,8,15154.260000000002,176.0,17769.82
188,8671,2513,173672.74000000022,3642.7699999999986,193508.5799999992
58,126,55,2849.8000000000006,121.63999999999999,3298.71
33,26185,30023,383753.8099999996,46302.61999999993,480527.65000001807
11,831,160,21692.03999999998,280.65,23947.14
204,8,2,669.78,0.0,817.74
83,5540,6314,70814.45000000003,4855.41,84018.66999999917
150,1006,296,24188.640000000003,497.95000000000005,26843.009999999973
260,18747,27758,217728.77000000008,18617.96,263003.7200000102
