LocationID,Dtrip_count,Dpassenger_count,Dfare_amount,Dtip_amount,Dtotal_amount
140,8514,8037,183935.59000000014,16718.150000000023,234554.71999999945
177,4371,2125,92352.47000000004,2260.1099999999997,103717.09999999971
152,12082,14284,103517.70000000004,7255.419999999996,125232.12999999698
132,4483,5460,173087.52000000002,22034.14,208558.7100000003
185,2845,917,56061.34000000004,1959.9799999999996,63398.139999999956
146,3828,4816,50498.57999999999,3188.250000000001,59626.35999999992
259,1837,598,46899.24999999997,742.7199999999998,52079.22000000006
1,280,366,22080.88,3538.019999999998,29618.400000000005
206,97,61,4705.62,73.4,5925.280000000001
52,4634,5489,37890.649999999994,5141.6100000000015,49225.959999999846
212,2106,1264,40516.04000000001,896.51,45699.41000000004
182,2863,1550,52597.42000000004,1335.75,59922.18999999997
218,2924,1350,71149.4900000001,2102.5,79284.02000000005
13,1149,1300,27937.39,3567.8999999999987,36769.190000000046
86,1832,884,79718.63,893.46,85328.83000000002
16,1371,718,37024.58,1075.22,40953.82000000006
6,41,8,2069.7100000000005,17.07,2568.45
168,9144,7919,138403.62000000014,3894.74,158227.5899999987
205,5135,2547,120243.14000000071,3526.8599999999997,134698.84999999986
142,7490,8872,127294.44000000003,17574.13000000004,173594.28999999995
3,1553,473,35111.83000000002,679.6399999999999,39724.11000000001
178,717,232,16343.100000000006,373.88,18217.269999999997
164,2393,2588,59738.729999999996,6179.129999999997,76580.07999999983
40,6871,8454,54152.58,8460.759999999998,71608.40999999935
20,1812,1120,33714.91,803.9300000000001,37913.60000000006
169,3805,2763,73510.20000000008,1625.31,82354.15999999983
139,1612,458,46264.54000000001,984.1700000000001,50887.74999999998
250,2263,1032,49196.190000000075,789.27,55518.12999999998
94,1568,1036,30612.230000000003,739.36,34336.78000000006
57,385,522,4617.81,162.84,5255.559999999995
54,2226,2673,20263.48,2672.6000000000004,26156.990000000067
120,408,426,7047.04,212.39999999999998,7917.689999999996
235,4868,3005,94666.12000000017,1787.83,105759.71999999962
96,501,337,11415.560000000001,272.04,12993.469999999998
48,5311,5480,121852.52000000006,11795.6,154800.409999999
191,2608,1442,71702.95000000006,1571.0899999999997,78298.95000000019
163,3120,3485,66109.95000000001,7625.609999999999,85642.67999999967
5,10,2,710.19,33.18,881.05
258,2417,1987,49965.799999999996,1548.1299999999994,56011.770000000084
19,847,371,24954.940000000006,476.11,27482.560000000005
92,5220,4523,109434.92000000027,2710.4,121921.67999999918
257,2109,2140,33088.27999999999,3051.080000000001,39651.300000000076
64,431,182,12887.159999999993,263.07,14153.699999999997
117,2394,848,104676.54999999999,877.47,114750.43000000007
227,2352,1641,68042.79999999999,2764.14,74743.18999999992
41,39516,47052,303561.2599999999,21593.469999999947,374196.810000026
154,226,57,6850.569999999999,104.95,7433.74
43,6762,8181,77600.54000000001,9648.17,103156.05999999915
15,657,339,16595.319999999996,488.04999999999995,18691.29
262,6018,7430,83032.06000000003,12082.810000000012,119110.65999999901
112,5150,6810,59225.19,8069.140000000003,74702.5599999994
165,2600,831,58726.0799999999,1306.38,65118.26000000006
189,6032,6373,69018.62,7452.249999999998,85056.71999999956
179,10400,13365,106855.12000000005,9238.410000000005,132256.6399999975
207,413,446,5941.289999999999,322.4200000000001,6922.850000000013
37,6113,4375,118674.59000000032,5479.8099999999995,135472.81999999957
61,18681,13249,308498.8999999998,15663.640000000003,355971.09999999986
127,3915,4007,67843.41,3763.449999999999,77574.85999999964
197,7103,6395,177833.56000000017,5836.130000000001,201613.76999999868
88,1178,1071,31500.359999999997,2213.2,38924.37000000001
263,12736,15374,144874.49000000017,20926.850000000064,212221.40000000066
