pick_date,trip_count,passenger_count,fare_amount,tip_amount,total_amount,avg_duration
2020-03-01,11495,12439,174572.56000000003,11575.989999999994,209595.97000000058,1165.6167532298255
2020-03-02,13024,13049,185611.93999999997,11015.34,217746.84999999995,1194.4732041825964
2020-03-03,14026,13980,197486.75999999998,12688.37,232949.86999999965,1149.3561191747465
2020-03-04,14320,14093,211576.90000000002,13407.810000000001,248807.4299999997,1276.9722386725628
2020-03-05,14930,15707,213761.9599999999,14915.970000000001,253633.8699999994,1097.3317728325717
2020-03-06,15579,16615,216462.83999999994,15599.500000000002,257189.30999999936,1195.6758714519594
2020-03-07,13230,14937,177278.51,13794.06,210896.00999999998,1212.3771589759906
2020-03-08,10573,11532,145929.65,10662.580000000002,172351.22000000047,1217.5683606007756
2020-03-09,12002,12294,169465.97999999998,11039.710000000001,200014.55000000013,1198.2460568273507
2020-03-10,12258,12130,175653.55999999994,11031.519999999997,206904.0000000001,1170.706256448286
2020-03-11,12268,12220,172404.46000000002,11217.300000000001,204950.33000000007,1200.6153701501985
2020-03-12,12296,12669,171241.99999999997,11747.470000000003,209174.06000000014,1309.182532424367
2020-03-13,10783,11330,146848.38999999998,9906.179999999998,174411.34000000023,795.5968441409401
2020-03-14,7787,9051,100081.06999999998,6649.63,117953.26000000042,1083.2041632136372
2020-03-15,5642,6252,74769.53,4515.210000000001,87510.04000000017,1137.5664563836447
2020-03-16,7149,7301,102921.81999999999,5909.169999999998,120990.25000000032,1070.3388691138005
2020-03-17,5417,5332,78224.23999999999,4437.359999999999,91886.70000000022,1035.0956352350547
2020-03-18,4896,4760,69978.33000000002,3786.1899999999996,82326.06000000016,928.6764290123355
2020-03-19,4086,3970,58995.549999999996,3168.6800000000003,69336.03000000009,1077.3046460210549
2020-03-20,3958,3905,55750.880000000005,2734.63,64948.60000000008,932.4656999810413
2020-03-21,2520,2540,34903.020000000004,1614.41,40078.34999999998,883.4120766163637
2020-03-22,1350,1406,20023.569999999996,1010.6899999999999,23150.979999999992,835.8097763210541
2020-03-23,1950,1684,29444.389999999996,1357.5900000000001,34252.90999999998,1142.2178011661035
2020-03-24,1822,1686,26145.06000000001,1226.9,30496.129999999983,1006.6604664349585
2020-03-25,1728,1563,26305.179999999997,1230.84,30615.079999999994,959.7889654658579
2020-03-26,1651,1554,24551.83,1214.11,28621.02999999998,1004.5472682527062
2020-03-27,1812,1725,25515.690000000006,1277.7299999999998,29873.119999999984,872.1713498773688
2020-03-28,1272,1250,17719.070000000003,924.43,20472.949999999986,916.0740027903372
2020-03-29,731,759,10592.73,641.35,12387.8,846.8097076751915
2020-03-30,1426,1171,21531.280000000002,1090.5000000000002,25074.379999999986,1053.078354271244
2020-03-31,1419,1242,21602.370000000006,991.7199999999999,25065.07999999999,887.6814351234898
