LocationID,Ptrip_count,Ppassenger_count,Pfare_amount,Ptip_amount,Ptotal_amount,Dtrip_count,Dpassenger_count,Dfare_amount,Dtip_amount,Dtotal_amount,Mtrip_count,Mpassenger_count,Mfare_amount,Mtip_amount,Mtotal_amount
108,1633,362,43895.54000000001,415.90999999999997,48335.53999999999,1768,656,43885.809999999976,820.7800000000001,48330.989999999976,-135,-294,9.730000000032305,-404.8700000000001,4.550000000017462
155,2374,442,61319.64000000016,584.61,67786.80000000002,2273,632,55956.05000000015,920.3700000000001,61707.38000000004,101,-190,5363.590000000011,-335.7600000000001,6079.419999999976
34,446,478,8187.139999999999,557.4799999999999,9596.129999999997,866,963,9893.839999999998,956.7400000000004,12062.250000000002,-420,-485,-1706.699999999999,-399.26000000000045,-2466.1200000000044
193,4674,4351,48928.67999999999,3123.4699999999993,59638.87999999998,6097,6740,58018.29,3230.100000000001,69795.57999999965,-1423,-2389,-9089.610000000008,-106.63000000000147,-10156.69999999967
211,11,1,280.45,11.0,314.5,800,982,16653.18,2283.6199999999994,22052.670000000016,-789,-981,-16372.73,-2272.6199999999994,-21738.170000000016
101,621,127,21428.60999999999,216.68,23427.28000000001,674,285,21579.759999999995,500.12,23593.130000000005,-53,-158,-151.1500000000051,-283.44,-165.8499999999949
115,194,165,9130.669999999998,192.5,11240.740000000002,164,110,7522.12,162.69,9424.910000000002,30,55,1608.5499999999984,29.810000000000002,1815.83
126,1463,730,29961.45000000001,526.63,34075.06000000001,2293,1628,44283.09000000001,1130.82,49996.80000000001,-830,-898,-14321.64,-604.1899999999999,-15921.739999999998
81,2082,657,68356.07000000002,786.11,77542.38999999997,2193,743,67780.83,970.14,75495.36999999995,-111,-86,575.2400000000198,-184.02999999999997,2047.0200000000186
28,1699,809,40887.66999999999,848.9900000000001,45567.370000000024,5724,5860,82033.91999999998,4974.139999999999,96154.2799999996,-4025,-5051,-41146.24999999999,-4125.15,-50586.90999999958
183,839,234,21215.039999999994,327.35,24234.87000000001,807,386,18370.149999999998,320.84999999999997,20648.890000000003,32,-152,2844.889999999996,6.500000000000057,3585.980000000007
210,5602,4145,104538.94,4122.870000000001,120217.60999999972,3991,2812,74752.06999999998,2197.66,84199.90000000001,1611,1333,29786.870000000024,1925.210000000001,36017.709999999715
76,8420,2038,212260.0099999997,3197.6099999999997,236506.02000000083,9036,2692,215989.0699999994,3572.95,240006.64000000077,-616,-654,-3729.0599999997066,-375.34000000000015,-3500.619999999937
26,2652,621,65355.580000000016,935.65,72247.44999999992,2817,1093,66588.87999999998,1330.7999999999997,73549.36999999997,-165,-472,-1233.2999999999593,-395.14999999999975,-1301.920000000042
27,50,7,2748.4700000000003,22.0,3072.55,98,31,5070.17,117.96,5772.64,-48,-24,-2321.7,-95.96,-2700.09
44,15,14,619.37,27.5,686.3499999999998,24,17,1072.06,35.75,1252.6699999999998,-9,-3,-452.68999999999994,-8.25,-566.32
159,7292,4523,133930.63999999993,2964.39,151732.30000000034,6682,5148,111138.41999999998,2440.7099999999987,125751.06999999986,610,-625,22792.219999999943,523.6800000000012,25981.230000000476
192,799,510,18971.86,1035.5600000000002,21395.790000000005,1539,1374,26061.800000000014,1529.49,30017.53000000006,-740,-864,-7089.940000000013,-493.92999999999984,-8621.740000000056
253,43,37,1151.78,17.62,1251.7800000000002,104,89,2382.5,52.87,2640.05,-61,-52,-1230.72,-35.25,-1388.27
236,2589,3149,34892.99999999999,4270.849999999999,47905.74000000004,18966,23877,205276.96,31868.520000000142,306818.0500000072,-16377,-20728,-170383.96,-27597.670000000144,-258912.31000000716
12,6,"",225.27999999999997,0.0,254.69,73,89,1943.5900000000001,188.53,2438.1,-67,"",-1718.3100000000002,-188.53,-2183.41
223,13828,19409,150716.61000000016,16812.599999999962,189809.49000000194,15844,21529,157290.19000000018,15535.869999999977,196507.32000000222,-2016,-2120,-6573.580000000016,1276.729999999985,-6697.830000000278
91,4232,732,107662.19000000015,1317.0300000000004,119804.13999999998,4731,1400,112409.68000000015,2026.6899999999996,124540.90999999997,-499,-668,-4747.490000000005,-709.6599999999992,-4736.7699999999895
222,2241,363,63147.25000000016,467.8,69948.73000000016,1968,459,51880.34000000003,581.14,57204.34000000007,273,-96,11266.910000000127,-113.33999999999997,12744.390000000087
22,2222,646,62290.54000000002,859.6199999999999,68383.99999999997,2335,991,63571.720000000016,1295.8,69525.14999999998,-113,-345,-1281.179999999993,-436.18000000000006,-1141.1500000000087
